design_id,target,pae_interaction,iptm,plddt_binder,pass
ab42_l60_s103118_mpnn17,9CO4,22.159288398692812,0.11,71.87133333333333,False
ab42_l60_s837308_mpnn3,9CO4,20.24148611111111,0.15,65.21883333333334,False
ab42_l60_s837308_mpnn6,9CO4,20.867333333333335,0.13,66.28883333333334,False
ab42_l61_s766115_mpnn9,9CO4,21.167416425586623,0.13,52.64344262295083,False
ab42_l62_s95406_mpnn2,9CO4,20.45589421252372,0.13,65.93274193548388,False
ab42_l63_s289797_mpnn2,9CO4,20.987436196700905,0.14,63.48428571428571,False
ab42_l63_s289797_mpnn5,9CO4,20.74377840024899,0.14,63.16619047619048,False
ab42_l63_s794643_mpnn1,9CO4,23.169875505757858,0.1,39.561428571428564,False
ab42_l63_s794643_mpnn3,9CO4,23.137986305633362,0.1,40.40825396825397,False
ab42_l65_s496499_mpnn3,9CO4,21.566563348416288,0.13,68.96984615384615,False
ab42_l67_s707813_mpnn1,9CO4,21.636916886157447,0.13,56.610447761194024,False
ab42_l67_s707813_mpnn2,9CO4,21.634926836406205,0.13,56.22686567164178,False
ab42_l68_s311665_mpnn6,9CO4,21.241508073817762,0.14,66.84735294117645,False
ab42_l70_s313438_mpnn2,9CO4,21.389617647058824,0.13,61.72085714285714,False
ab42_l70_s313438_mpnn5,9CO4,21.274315126050418,0.13,61.27585714285715,False
ab42_l70_s557298_mpnn12,9CO4,21.219941876750703,0.12,62.861428571428576,False
ab42_l70_s71039_mpnn1,9CO4,20.789293417366945,0.14,57.30971428571429,False
ab42_l70_s71039_mpnn5,9CO4,21.067362044817926,0.14,55.60185714285715,False
ab42_l70_s944140_mpnn10,9CO4,21.102219187675075,0.13,66.09242857142858,False
ab42_l70_s944140_mpnn3,9CO4,20.29100070028011,0.16,65.18557142857145,False
ab42_l71_s843399_mpnn18,9CO4,21.204845346589337,0.15,68.36760563380284,False
ab42_l72_s817651_mpnn15,9CO4,20.88406045751634,0.14,69.08416666666666,False
ab42_l72_s817651_mpnn19,9CO4,20.790442538126364,0.14,69.74333333333334,False
ab42_l76_s254619_mpnn6,9CO4,21.802858617131065,0.12,52.40947368421053,False
ab42_l76_s642149_mpnn3,9CO4,21.107129772961816,0.15,60.606842105263155,False
ab42_l76_s642149_mpnn5,9CO4,20.832607714138287,0.15,61.57039473684211,False
ab42_l77_s306498_mpnn13,9CO4,19.34105551311434,0.19,72.7561038961039,False
ab42_l77_s306498_mpnn16,9CO4,21.336642475171885,0.15,72.99376623376621,False
ab42_l78_s597404_mpnn16,9CO4,21.38850301659125,0.14,69.87153846153845,False
ab42_l78_s597404_mpnn9,9CO4,20.712303921568623,0.15,70.2351282051282,False
ab42_l79_s120913_mpnn1,9CO4,21.332982750062047,0.13,63.98367088607594,False
