design_id	target_pdb	cluster	status
ab42_l60_s103118_mpnn17	9CO4	narval	pending
ab42_l60_s103118_mpnn17	9CKI	narval	pending
ab42_l60_s103118_mpnn17	9CK6	narval	pending
ab42_l60_s103118_mpnn17	7Q4B	narval	pending
ab42_l60_s103118_mpnn17	7Q4M	narval	pending
ab42_l60_s103118_mpnn17	6SHS	narval	pending
ab42_l60_s103118_mpnn17	1IYT	narval	pending
ab42_l60_s103118_mpnn17	Ab40_monomer	narval	pending
ab42_l60_s837308_mpnn3	9CO4	narval	pending
ab42_l60_s837308_mpnn3	9CKI	narval	pending
ab42_l60_s837308_mpnn3	9CK6	narval	pending
ab42_l60_s837308_mpnn3	7Q4B	narval	pending
ab42_l60_s837308_mpnn3	7Q4M	narval	pending
ab42_l60_s837308_mpnn3	6SHS	narval	pending
ab42_l60_s837308_mpnn3	1IYT	narval	pending
ab42_l60_s837308_mpnn3	Ab40_monomer	narval	pending
ab42_l60_s837308_mpnn6	9CO4	narval	pending
ab42_l60_s837308_mpnn6	9CKI	narval	pending
ab42_l60_s837308_mpnn6	9CK6	narval	pending
ab42_l60_s837308_mpnn6	7Q4B	narval	pending
ab42_l60_s837308_mpnn6	7Q4M	narval	pending
ab42_l60_s837308_mpnn6	6SHS	narval	pending
ab42_l60_s837308_mpnn6	1IYT	narval	pending
ab42_l60_s837308_mpnn6	Ab40_monomer	narval	pending
ab42_l61_s766115_mpnn9	9CO4	narval	pending
ab42_l61_s766115_mpnn9	9CKI	narval	pending
ab42_l61_s766115_mpnn9	9CK6	narval	pending
ab42_l61_s766115_mpnn9	7Q4B	narval	pending
ab42_l61_s766115_mpnn9	7Q4M	narval	pending
ab42_l61_s766115_mpnn9	6SHS	narval	pending
ab42_l61_s766115_mpnn9	1IYT	narval	pending
ab42_l61_s766115_mpnn9	Ab40_monomer	narval	pending
ab42_l62_s95406_mpnn2	9CO4	narval	pending
ab42_l62_s95406_mpnn2	9CKI	narval	pending
ab42_l62_s95406_mpnn2	9CK6	narval	pending
ab42_l62_s95406_mpnn2	7Q4B	narval	pending
ab42_l62_s95406_mpnn2	7Q4M	narval	pending
ab42_l62_s95406_mpnn2	6SHS	narval	pending
ab42_l62_s95406_mpnn2	1IYT	narval	pending
ab42_l62_s95406_mpnn2	Ab40_monomer	narval	pending
ab42_l63_s289797_mpnn2	9CO4	narval	pending
ab42_l63_s289797_mpnn2	9CKI	narval	pending
ab42_l63_s289797_mpnn2	9CK6	narval	pending
ab42_l63_s289797_mpnn2	7Q4B	narval	pending
ab42_l63_s289797_mpnn2	7Q4M	narval	pending
ab42_l63_s289797_mpnn2	6SHS	narval	pending
ab42_l63_s289797_mpnn2	1IYT	narval	pending
ab42_l63_s289797_mpnn2	Ab40_monomer	narval	pending
ab42_l63_s289797_mpnn5	9CO4	narval	pending
ab42_l63_s289797_mpnn5	9CKI	narval	pending
ab42_l63_s289797_mpnn5	9CK6	narval	pending
ab42_l63_s289797_mpnn5	7Q4B	narval	pending
ab42_l63_s289797_mpnn5	7Q4M	narval	pending
ab42_l63_s289797_mpnn5	6SHS	narval	pending
ab42_l63_s289797_mpnn5	1IYT	narval	pending
ab42_l63_s289797_mpnn5	Ab40_monomer	narval	pending
ab42_l63_s794643_mpnn1	9CO4	narval	pending
ab42_l63_s794643_mpnn1	9CKI	narval	pending
ab42_l63_s794643_mpnn1	9CK6	narval	pending
ab42_l63_s794643_mpnn1	7Q4B	narval	pending
ab42_l63_s794643_mpnn1	7Q4M	narval	pending
ab42_l63_s794643_mpnn1	6SHS	narval	pending
ab42_l63_s794643_mpnn1	1IYT	narval	pending
ab42_l63_s794643_mpnn1	Ab40_monomer	narval	pending
ab42_l63_s794643_mpnn3	9CO4	narval	pending
