id,ab42_design,tfr1_design,domain_order,linker_id,linker_name,linker_len,total_len,arm1_plddt,arm2_plddt,mean_arm_plddt,min_arm_plddt,linker_plddt,inter_domain_pae,ptm,pass_arm1_plddt,pass_arm2_plddt,pass_inter_pae,pass_ptm_soft,pass_all,rank,panel_selected
fusion_s843399m18_s255454m5_v2,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,ab-tfr1,v2,GS4,20,142,93.14,90.75,91.94,90.75,43.07,24.52,0.48,True,True,True,False,True,1,True
fusion_s843399m18_s422992m5_v10,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,tfr1-ab,v10,PAPAP,5,146,90.05,93.66,91.85,90.05,70.15,20.31,0.51,True,True,True,False,True,2,True
fusion_s843399m18_s422992m5_v4,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,ab-tfr1,v4,EAAAK,17,158,93.76,89.12,91.44,89.12,74.47,21.89,0.52,True,True,True,False,True,3,True
fusion_s480128m17_s938332m1_v10,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,tfr1-ab,v10,PAPAP,5,140,88.42,93.48,90.95,88.42,70.48,18.75,0.6,True,True,True,False,True,4,True
fusion_s843399m18_s938332m1_v10,ab42_l71_s843399_mpnn18,tfr1_l53_s938332_mpnn1,tfr1-ab,v10,PAPAP,5,129,88.9,92.77,90.84,88.9,74.61,18.53,0.55,True,True,True,False,True,5,True
fusion_s843399m18_s422992m5_v9,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,tfr1-ab,v9,EAAAK,17,158,87.75,93.18,90.47,87.75,68.89,22.33,0.51,True,True,True,False,True,6,False
fusion_s480128m17_s255454m5_v4,ab42_l82_s480128_mpnn17,tfr1_l51_s255454_mpnn5,ab-tfr1,v4,EAAAK,17,150,92.91,87.84,90.38,87.84,68.59,23.09,0.58,True,True,True,False,True,7,True
fusion_s843399m18_s422992m5_v5,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,ab-tfr1,v5,PAPAP,5,146,91.06,89.43,90.25,89.43,56.47,21.82,0.5,True,True,True,False,True,8,False
fusion_s843399m18_s766452m12_v4,ab42_l71_s843399_mpnn18,tfr1_l60_s766452_mpnn12,ab-tfr1,v4,EAAAK,17,148,94.1,86.37,90.23,86.37,82.34,19.14,0.55,True,True,True,False,True,9,True
fusion_s843399m18_s694877m7_v3,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,ab-tfr1,v3,GS5,25,147,92.47,87.93,90.2,87.93,37.82,23.62,0.48,True,True,True,False,True,10,True
fusion_s480128m17_s422992m5_v4,ab42_l82_s480128_mpnn17,tfr1_l70_s422992_mpnn5,ab-tfr1,v4,EAAAK,17,169,91.58,88.68,90.13,88.68,64.38,22.83,0.53,True,True,True,False,True,11,True
fusion_s843399m18_s422992m5_v1,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,ab-tfr1,v1,GS3,15,156,90.33,89.81,90.07,89.81,40.56,22.27,0.48,True,True,True,False,True,12,False
fusion_s843399m18_s255454m5_v4,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,ab-tfr1,v4,EAAAK,17,139,94.27,85.88,90.07,85.88,75.95,23.04,0.55,True,True,True,False,True,13,True
fusion_s843399m18_s422992m5_v2,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,ab-tfr1,v2,GS4,20,161,90.05,89.81,89.93,89.81,39.46,22.69,0.47,True,True,True,False,True,14,False
fusion_s843399m18_s694877m7_v9,ab42_l71_s843399_mpnn18,tfr1_l51_s694877_mpnn7,tfr1-ab,v9,EAAAK,17,139,86.77,92.93,89.85,86.77,63.94,23.47,0.51,True,True,True,False,True,15,True
fusion_s843399m18_s255454m5_v6,ab42_l71_s843399_mpnn18,tfr1_l51_s255454_mpnn5,tfr1-ab,v6,GS3,15,137,86.58,93.11,89.84,86.58,42.04,23.05,0.51,True,True,True,False,True,16,False
fusion_s480128m17_s938332m1_v4,ab42_l82_s480128_mpnn17,tfr1_l53_s938332_mpnn1,ab-tfr1,v4,EAAAK,17,152,92.81,86.84,89.83,86.84,68.1,23.04,0.57,True,True,True,False,True,17,True
fusion_s843399m18_s422992m5_v3,ab42_l71_s843399_mpnn18,tfr1_l70_s422992_mpnn5,ab-tfr1,v3,GS5,25,166,89.59,89.79,89.69,89.59,39.65,23.1,0.46,True,True,True,False,True,18,False
