id,ab42_design,tfr1_design,domain_order,linker_id,linker_name,linker_len,total_len,arm1_plddt,arm2_plddt,linker_plddt,inter_domain_pae,ptm,pass_arm1_plddt,pass_arm2_plddt,pass_inter_pae,pass_ptm,pass_all
fusion_s967366m11_s766452m12_v1,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v1,GS3,15,157,92.44,85.98,40.12,25.1,0.52,True,True,True,False,False
fusion_s967366m11_s766452m12_v2,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v2,GS4,20,162,91.97,85.7,39.0,25.25,0.51,True,True,True,False,False
fusion_s967366m11_s766452m12_v3,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v3,GS5,25,167,91.88,85.64,38.81,25.28,0.49,True,True,True,False,False
fusion_s967366m11_s766452m12_v4,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v4,EAAAK,17,159,93.16,86.49,82.79,19.15,0.6,True,True,True,False,False
fusion_s967366m11_s766452m12_v5,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,ab-tfr1,v5,PAPAP,5,147,91.38,83.32,59.14,19.09,0.59,True,True,True,False,False
fusion_s967366m11_s766452m12_v6,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v6,GS3,15,157,86.74,93.12,40.28,23.52,0.53,True,True,True,False,False
fusion_s967366m11_s766452m12_v7,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v7,GS4,20,162,87.39,93.33,39.5,23.82,0.52,True,True,True,False,False
fusion_s967366m11_s766452m12_v8,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v8,GS5,25,167,87.32,93.55,39.0,23.59,0.51,True,True,True,False,False
fusion_s967366m11_s766452m12_v9,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v9,EAAAK,17,159,83.58,91.5,61.39,24.19,0.52,True,True,True,False,False
fusion_s967366m11_s766452m12_v10,ab42_l82_s967366_mpnn11,tfr1_l60_s766452_mpnn12,tfr1-ab,v10,PAPAP,5,147,84.72,93.41,61.43,22.69,0.55,True,True,True,False,False
fusion_s967366m11_s422992m5_v1,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v1,GS3,15,167,91.56,88.94,42.3,21.24,0.53,True,True,True,False,False
fusion_s967366m11_s422992m5_v2,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v2,GS4,20,172,91.5,89.3,40.99,21.67,0.51,True,True,True,False,False
fusion_s967366m11_s422992m5_v3,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v3,GS5,25,177,91.42,89.29,41.63,21.62,0.5,True,True,True,False,False
fusion_s967366m11_s422992m5_v4,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v4,EAAAK,17,169,93.02,90.25,78.45,18.18,0.6,True,True,True,False,False
fusion_s967366m11_s422992m5_v5,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,ab-tfr1,v5,PAPAP,5,157,90.68,88.71,53.8,20.37,0.55,True,True,True,False,False
fusion_s967366m11_s422992m5_v6,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v6,GS3,15,167,88.56,91.81,42.94,20.39,0.53,True,True,True,False,False
fusion_s967366m11_s422992m5_v7,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v7,GS4,20,172,88.63,91.75,41.12,20.25,0.52,True,True,True,False,False
fusion_s967366m11_s422992m5_v8,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v8,GS5,25,177,88.88,91.59,40.89,21.53,0.5,True,True,True,False,False
fusion_s967366m11_s422992m5_v9,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v9,EAAAK,17,169,89.78,91.22,62.44,24.34,0.5,True,True,True,False,False
fusion_s967366m11_s422992m5_v10,ab42_l82_s967366_mpnn11,tfr1_l70_s422992_mpnn5,tfr1-ab,v10,PAPAP,5,157,90.36,92.78,66.4,20.12,0.54,True,True,True,False,False
fusion_s967366m11_s938332m1_v1,ab42_l82_s967366_mpnn11,tfr1_l53_s938332_mpnn1,ab-tfr1,v1,GS3,15,150,76.16,61.99,38.54,14.8,0.59,False,False,False,False,False
fusion_s967366m11_s938332m1_v2,ab42_l82_s967366_mpnn11,tfr1_l53_s938332_mpnn1,ab-tfr1,v2,GS4,20,155,77.46,59.19,38.04,17.62,0.56,False,False,True,False,False
fusion_s967366m11_s938332m1_v3,ab42_l82_s967366_mpnn11,tfr1_l53_s938332_mpnn1,ab-tfr1,v3,GS5,25,160,83.21,77.79,39.67,21.43,0.52,True,False,True,False,False
fusion_s967366m11_s938332m1_v4,ab42_l82_s967366_mpnn11,tfr1_l53_s938332_mpnn1,ab-tfr1,v4,EAAAK,17,152,91.56,87.27,75.76,22.32,0.58,True,True,True,False,False
fusion_s967366m11_s938332m1_v5,ab42_l82_s967366_mpnn11,tfr1_l53_s938332_mpnn1,ab-tfr1,v5,PAPAP,5,140,90.5,64.28,54.25,23.47,0.57,True,False,True,False,False
fusion_s967366m11_s938332m1_v6,ab42_l82_s967366_mpnn11,tfr1_l53_s938332_mpnn1,tfr1-ab,v6,GS3,15,150,72.41,67.44,33.73,18.79,0.47,False,False,True,False,False
fusion_s967366m11_s938332m1_v7,ab42_l82_s967366_mpnn11,tfr1_l53_s938332_mpnn1,tfr1-ab,v7,GS4,20,155,59.61,66.9,33.21,18.27,0.48,False,False,True,False,False
fusion_s967366m11_s938332m1_v8,ab42_l82_s967366_mpnn11,tfr1_l53_s938332_mpnn1,tfr1-ab,v8,GS5,25,160,67.02,67.38,35.33,18.8,0.46,False,False,True,False,False
fusion_s967366m11_s938332m1_v9,ab42_l82_s967366_mpnn11,tfr1_l53_s938332_mpnn1,tfr1-ab,v9,EAAAK,17,152,85.56,91.26,56.79,25.88,0.52,True,True,True,False,False
fusion_s967366m11_s938332m1_v10,ab42_l82_s967366_mpnn11,tfr1_l53_s938332_mpnn1,tfr1-ab,v10,PAPAP,5,140,82.16,75.87,46.16,21.7,0.49,True,False,True,False,False
fusion_s967366m11_s255454m5_v1,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v1,GS3,15,148,92.64,84.66,43.33,23.4,0.56,True,True,True,False,False
fusion_s967366m11_s255454m5_v2,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v2,GS4,20,153,92.43,84.11,43.22,23.49,0.54,True,True,True,False,False
fusion_s967366m11_s255454m5_v3,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v3,GS5,25,158,92.5,86.01,43.42,23.74,0.53,True,True,True,False,False
fusion_s967366m11_s255454m5_v4,ab42_l82_s967366_mpnn11,tfr1_l51_s255454_mpnn5,ab-tfr1,v4,EAAAK,17,150,94.12,83.86,77.48,23.25,0.59,True,True,True,False,False
