design_id,pae_9CO4,pae_9CKI,pae_9CK6,pae_7Q4B,pae_7Q4M,pae_6SHS,pae_1IYT,pae_Ab40_monomer,iptm_9CO4,iptm_9CKI,iptm_9CK6,iptm_7Q4B,iptm_7Q4M,iptm_6SHS,iptm_1IYT,iptm_Ab40_monomer,pass_positive,pass_all_negative,pass_stage3
ab42_l60_s103118_mpnn17,22.16,22.14,21.77,22.13,21.36,21.69,18.99,18.57,0.1100,0.1100,0.1200,0.1100,0.1200,0.1400,0.1400,0.1500,False,True,False
ab42_l60_s837308_mpnn3,20.24,20.27,20.25,20.25,18.91,20.45,17.57,17.49,0.1500,0.1500,0.1500,0.1500,0.1700,0.1500,0.1500,0.1500,False,True,False
ab42_l60_s837308_mpnn6,20.87,20.84,20.85,20.87,19.94,20.33,18.37,18.31,0.1300,0.1400,0.1300,0.1300,0.1500,0.1600,0.1400,0.1400,False,True,False
ab42_l61_s766115_mpnn9,21.17,21.17,21.12,21.18,20.64,21.32,15.97,16.05,0.1300,0.1300,0.1300,0.1300,0.1300,0.1400,0.2200,0.2100,False,True,False
ab42_l62_s95406_mpnn2,20.46,20.06,20.06,20.02,20.03,20.05,17.99,17.76,0.1300,0.1400,0.1400,0.1400,0.1500,0.1700,0.1600,0.1600,False,True,False
ab42_l63_s289797_mpnn2,20.99,20.99,20.98,21.00,20.62,21.43,18.45,17.82,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,0.1500,False,True,False
ab42_l63_s289797_mpnn5,20.74,20.97,21.03,20.74,20.27,20.80,18.32,17.92,0.1400,0.1300,0.1300,0.1400,0.1400,0.1500,0.1500,0.1600,False,True,False
ab42_l63_s794643_mpnn1,23.17,23.09,22.94,23.11,22.74,22.96,20.65,20.60,0.1000,0.1000,0.1000,0.1000,0.1000,0.1200,0.1000,0.1000,False,True,False
ab42_l63_s794643_mpnn3,23.14,23.02,23.03,23.14,22.90,23.36,21.31,20.59,0.1000,0.1000,0.1000,0.1000,0.1000,0.1100,0.0900,0.1000,False,True,False
ab42_l65_s496499_mpnn3,21.57,21.64,21.62,21.64,20.45,21.12,18.08,17.94,0.1300,0.1300,0.1300,0.1200,0.1400,0.1500,0.1600,0.1600,False,True,False
ab42_l67_s707813_mpnn1,21.64,21.65,21.65,21.66,21.41,22.05,19.17,19.07,0.1300,0.1300,0.1300,0.1300,0.1400,0.1400,0.1400,0.1400,False,True,False
ab42_l67_s707813_mpnn2,21.63,21.60,21.60,21.64,21.38,21.81,19.22,19.27,0.1300,0.1300,0.1300,0.1300,0.1400,0.1500,0.1400,0.1400,False,True,False
ab42_l68_s311665_mpnn6,21.24,21.38,21.68,21.33,20.75,21.00,18.48,18.76,0.1400,0.1400,0.1200,0.1400,0.1300,0.1500,0.1600,0.1500,False,True,False
ab42_l70_s313438_mpnn2,21.39,21.45,21.35,21.39,21.16,20.98,18.26,17.50,0.1300,0.1300,0.1300,0.1300,0.1300,0.1500,0.1700,0.1900,False,True,False
ab42_l70_s313438_mpnn5,21.27,21.36,21.49,21.27,21.09,21.95,18.19,18.27,0.1300,0.1300,0.1300,0.1300,0.1400,0.1300,0.1700,0.1700,False,True,False
ab42_l70_s557298_mpnn12,21.22,21.14,21.39,21.22,22.23,21.97,18.18,18.76,0.1200,0.1200,0.1200,0.1200,0.1100,0.1300,0.1700,0.1500,False,True,False
ab42_l70_s71039_mpnn1,20.79,20.79,20.84,20.79,20.28,20.96,18.44,18.28,0.1400,0.1400,0.1400,0.1400,0.1500,0.1600,0.1600,0.1600,False,True,False
ab42_l70_s71039_mpnn5,21.07,21.02,21.06,21.07,20.89,21.19,18.77,18.32,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,0.1500,0.1600,False,True,False
ab42_l70_s944140_mpnn10,21.10,21.39,21.25,21.10,20.56,20.89,18.25,18.09,0.1300,0.1300,0.1300,0.1300,0.1500,0.1800,0.1700,0.1700,False,True,False
ab42_l70_s944140_mpnn3,20.29,20.36,20.40,20.29,20.50,20.07,18.27,17.84,0.1600,0.1500,0.1500,0.1600,0.1500,0.1900,0.1700,0.1800,False,True,False
ab42_l71_s843399_mpnn18,21.20,21.20,21.24,21.24,20.69,21.14,19.01,18.71,0.1500,0.1500,0.1500,0.1500,0.1500,0.1600,0.1600,0.1600,False,True,False
ab42_l72_s817651_mpnn15,20.88,20.88,20.88,20.88,20.88,20.71,18.95,18.86,0.1400,0.1400,0.1400,0.1400,0.1400,0.1700,0.1600,0.1600,False,True,False
ab42_l72_s817651_mpnn19,20.79,20.79,20.79,20.84,20.92,20.42,18.90,19.06,0.1400,0.1400,0.1400,0.1400,0.1400,0.1700,0.1600,0.1600,False,True,False
ab42_l76_s254619_mpnn6,21.80,21.74,21.72,21.76,21.25,22.25,19.16,19.93,0.1200,0.1200,0.1200,0.1200,0.1500,0.1300,0.1400,0.1200,False,True,False
ab42_l76_s642149_mpnn3,21.11,21.12,21.03,21.13,20.40,21.81,17.84,18.41,0.1500,0.1500,0.1500,0.1500,0.1800,0.1600,0.1900,0.1700,False,True,False
ab42_l76_s642149_mpnn5,20.83,21.27,21.06,21.39,20.87,21.54,18.37,18.59,0.1500,0.1300,0.1400,0.1300,0.1600,0.1700,0.1900,0.1700,False,True,False
ab42_l77_s306498_mpnn13,19.34,19.34,19.36,19.34,19.58,21.68,19.71,19.26,0.1900,0.1900,0.1900,0.1900,0.1800,0.1400,0.1300,0.1300,False,True,False
ab42_l77_s306498_mpnn16,21.34,21.34,21.35,21.34,19.42,21.45,19.41,19.06,0.1500,0.1500,0.1500,0.1500,0.1800,0.1400,0.1400,0.1300,False,True,False
