design_id,pae_6WRV_positive,pae_TfR2_negative,pae_1SUV_Tf_competition,iptm_6WRV_positive,iptm_TfR2_negative,iptm_1SUV_Tf_competition,pass_positive,pass_tfr2_selectivity,pass_tf_competition,pass_stage7_3
tfr1_l50_s546651_mpnn12,30.87,27.52,31.05,0.1500,0.1500,0.1500,False,True,False,False
tfr1_l50_s546651_mpnn14,30.95,27.80,31.18,0.1400,0.0900,0.1500,False,True,False,False
tfr1_l50_s546651_mpnn15,30.93,27.15,31.14,0.1400,0.3300,0.1500,False,True,False,False
tfr1_l50_s546651_mpnn16,30.85,27.27,30.99,0.1400,0.3000,0.1500,False,True,False,False
tfr1_l50_s546651_mpnn17,30.79,27.52,30.99,0.1400,0.1100,0.1500,False,True,False,False
tfr1_l50_s546651_mpnn3,30.84,27.68,31.07,0.1400,0.0900,0.1500,False,True,False,False
tfr1_l50_s546651_mpnn5,30.80,27.81,31.02,0.1400,0.0900,0.1500,False,True,False,False
tfr1_l50_s546651_mpnn6,30.88,27.97,31.11,0.1400,0.1100,0.1500,False,True,False,False
tfr1_l50_s580437_mpnn1,30.96,27.84,31.08,0.1400,0.1100,0.1500,False,True,False,False
tfr1_l50_s580437_mpnn11,30.92,27.93,31.04,0.1500,0.1100,0.1500,False,True,False,False
tfr1_l50_s763671_mpnn10,30.88,27.72,30.95,0.1400,0.0900,0.1500,False,True,False,False
tfr1_l50_s763671_mpnn16,30.85,27.65,30.93,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l50_s763671_mpnn19,30.85,27.60,30.94,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l50_s763671_mpnn2,30.89,27.61,30.95,0.1400,0.1000,0.1500,False,True,False,False
tfr1_l50_s763671_mpnn3,30.87,27.76,30.96,0.1500,0.1000,0.1400,False,True,False,False
tfr1_l50_s763671_mpnn4,30.86,27.82,30.95,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l50_s763671_mpnn5,30.90,27.53,30.95,0.1400,0.1100,0.1500,False,True,False,False
tfr1_l50_s763671_mpnn7,30.89,27.86,30.94,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l50_s763671_mpnn8,30.90,27.61,30.95,0.1500,0.1100,0.1500,False,True,False,False
tfr1_l50_s769803_mpnn10,30.90,27.45,31.05,0.1400,0.1000,0.1400,False,True,False,False
tfr1_l50_s769803_mpnn4,30.90,28.15,31.00,0.1400,0.0800,0.1500,False,True,False,False
tfr1_l50_s769803_mpnn6,30.86,28.10,30.96,0.1400,0.0900,0.1500,False,True,False,False
tfr1_l50_s769803_mpnn7,30.86,28.08,30.95,0.1400,0.0900,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn1,30.73,27.15,30.77,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn10,30.73,27.46,30.76,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn11,30.64,27.75,30.76,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn12,30.66,27.49,30.81,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn13,30.67,27.06,30.69,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn14,30.78,27.33,30.76,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn16,30.55,27.28,30.71,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn17,30.67,27.28,30.81,0.1500,0.1200,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn18,30.66,27.53,30.80,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn2,30.72,27.47,30.77,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn20,30.73,27.58,30.73,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn3,30.72,27.56,30.74,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn4,30.78,27.28,30.78,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn5,30.64,27.27,30.75,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn6,30.69,27.27,30.81,0.1500,0.1200,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn8,30.67,27.56,30.75,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l51_s105102_mpnn9,30.80,27.53,30.78,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l51_s255454_mpnn1,31.06,27.60,31.11,0.1400,0.1000,0.1500,False,True,False,False
tfr1_l51_s255454_mpnn13,31.00,27.88,31.01,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l51_s255454_mpnn5,30.86,27.32,31.03,0.1400,0.2200,0.1500,False,True,False,False
tfr1_l51_s694877_mpnn1,30.84,27.12,31.00,0.1500,0.1200,0.1500,False,True,False,False
tfr1_l51_s694877_mpnn12,30.41,26.62,30.74,0.1600,0.1300,0.1500,False,True,False,False
tfr1_l51_s694877_mpnn13,30.81,27.14,30.79,0.1500,0.1300,0.1500,False,True,False,False
tfr1_l51_s694877_mpnn15,30.53,27.13,30.94,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l51_s694877_mpnn18,30.64,27.03,30.82,0.1500,0.1100,0.1500,False,True,False,False
tfr1_l51_s694877_mpnn3,30.36,26.74,30.99,0.1600,0.1400,0.1500,False,True,False,False
tfr1_l51_s694877_mpnn7,30.77,27.40,30.76,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l52_s198519_mpnn10,30.23,26.23,31.09,0.1600,0.3500,0.1500,False,True,False,False
tfr1_l52_s198519_mpnn11,30.28,27.49,31.12,0.1600,0.1200,0.1500,False,True,False,False
tfr1_l52_s198519_mpnn12,30.22,26.80,31.09,0.1600,0.2100,0.1500,False,True,False,False
tfr1_l52_s198519_mpnn13,30.86,27.03,31.10,0.1500,0.1900,0.1500,False,True,False,False
tfr1_l52_s198519_mpnn16,30.19,27.49,31.03,0.1600,0.1500,0.1500,False,True,False,False
tfr1_l52_s198519_mpnn19,30.42,26.26,31.06,0.1600,0.2500,0.1500,False,True,False,False
tfr1_l52_s198519_mpnn20,30.11,25.24,31.11,0.1600,0.5200,0.1500,False,True,False,False
tfr1_l52_s357713_mpnn19,30.71,27.20,31.00,0.1400,0.1400,0.1500,False,True,False,False
tfr1_l52_s357713_mpnn4,30.22,27.21,31.04,0.1600,0.1800,0.1500,False,True,False,False
tfr1_l52_s536609_mpnn1,30.79,27.38,30.90,0.1500,0.1600,0.1500,False,True,False,False
tfr1_l52_s536609_mpnn2,30.83,27.78,30.87,0.1400,0.0900,0.1500,False,True,False,False
tfr1_l52_s536609_mpnn3,30.79,26.43,30.90,0.1400,0.2300,0.1500,False,True,False,False
tfr1_l52_s536609_mpnn8,30.59,27.97,30.91,0.1500,0.0800,0.1500,False,True,False,False
tfr1_l52_s873802_mpnn12,30.76,27.27,30.99,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l52_s873802_mpnn9,30.26,27.04,31.00,0.1600,0.1300,0.1500,False,True,False,False
tfr1_l53_s728228_mpnn2,30.20,27.33,30.88,0.1600,0.1100,0.1500,False,True,False,False
tfr1_l53_s728228_mpnn3,30.67,27.36,30.99,0.1500,0.1000,0.1500,False,True,False,False
tfr1_l53_s728228_mpnn4,30.76,27.87,30.96,0.1500,0.0900,0.1500,False,True,False,False
tfr1_l53_s938332_mpnn1,30.87,27.23,30.95,0.1500,0.1400,0.1500,False,True,False,False
tfr1_l55_s790280_mpnn16,29.66,27.28,30.95,0.1700,0.1000,0.1500,False,True,False,False
tfr1_l55_s790280_mpnn3,29.79,27.02,30.92,0.1700,0.1400,0.1500,False,True,False,False
tfr1_l55_s790280_mpnn4,29.73,27.11,30.93,0.1700,0.1500,0.1500,False,True,False,False
tfr1_l55_s790280_mpnn6,29.15,26.80,31.01,0.1800,0.1100,0.1500,False,True,False,False
tfr1_l57_s157713_mpnn3,29.84,26.83,30.52,0.1700,0.3500,0.1600,False,True,False,False
tfr1_l57_s204038_mpnn1,29.75,28.01,30.85,0.1700,0.0900,0.1500,False,True,False,False
tfr1_l57_s204038_mpnn10,29.52,28.09,30.84,0.1800,0.0900,0.1500,False,True,False,False
tfr1_l57_s204038_mpnn12,29.97,28.14,30.85,0.1700,0.0800,0.1500,False,True,False,False
tfr1_l57_s204038_mpnn2,29.67,27.67,30.82,0.1900,0.0900,0.1500,False,True,False,False
tfr1_l57_s204038_mpnn7,29.92,27.90,30.88,0.1700,0.0900,0.1500,False,True,False,False
tfr1_l57_s204038_mpnn9,29.66,28.03,30.81,0.1700,0.0900,0.1500,False,True,False,False
tfr1_l57_s822306_mpnn12,29.96,26.84,31.03,0.1700,0.1500,0.1500,False,True,False,False
tfr1_l57_s822306_mpnn19,29.91,27.04,31.16,0.1800,0.1400,0.1500,False,True,False,False
tfr1_l57_s822306_mpnn6,30.01,27.06,30.91,0.1700,0.1500,0.1500,False,True,False,False
tfr1_l57_s947783_mpnn4,29.49,27.95,30.92,0.1800,0.1000,0.1500,False,True,False,False
tfr1_l57_s947783_mpnn5,29.79,27.64,31.00,0.1700,0.1200,0.1500,False,True,False,False
tfr1_l57_s947783_mpnn7,29.28,27.67,31.04,0.1800,0.1100,0.1500,False,True,False,False
tfr1_l57_s947783_mpnn8,29.33,27.57,31.03,0.1800,0.1000,0.1500,False,True,False,False
tfr1_l57_s947783_mpnn9,29.80,27.32,31.05,0.1700,0.1600,0.1500,False,True,False,False
tfr1_l58_s722105_mpnn17,29.84,27.09,30.89,0.1600,0.2000,0.1500,False,True,False,False
tfr1_l58_s722105_mpnn4,30.96,26.93,31.01,0.1500,0.2000,0.1500,False,True,False,False
tfr1_l58_s884405_mpnn11,29.78,26.65,30.81,0.1700,0.1100,0.1500,False,True,False,False
tfr1_l58_s884405_mpnn15,29.79,26.92,30.81,0.1600,0.1000,0.1500,False,True,False,False
tfr1_l58_s884405_mpnn5,29.82,26.71,30.84,0.1800,0.1100,0.1500,False,True,False,False
tfr1_l58_s884405_mpnn6,29.63,26.93,30.78,0.1700,0.1100,0.1500,False,True,False,False
tfr1_l58_s928031_mpnn10,29.92,28.14,30.95,0.1700,0.1000,0.1500,False,True,False,False
tfr1_l58_s928031_mpnn13,29.61,28.28,30.85,0.1800,0.0800,0.1500,False,True,False,False
tfr1_l58_s928031_mpnn7,30.25,28.21,30.99,0.1600,0.0900,0.1500,False,True,False,False
tfr1_l59_s156876_mpnn1,29.87,26.83,30.80,0.1700,0.1700,0.1500,False,True,False,False
tfr1_l59_s156876_mpnn11,29.82,26.03,30.78,0.1700,0.3800,0.1500,False,True,False,False
tfr1_l59_s156876_mpnn14,29.54,26.69,30.83,0.1800,0.2100,0.1500,False,True,False,False
tfr1_l59_s156876_mpnn16,30.37,27.45,30.85,0.1600,0.1800,0.1500,False,True,False,False
tfr1_l59_s156876_mpnn19,29.95,26.27,30.85,0.1700,0.2700,0.1500,False,True,False,False
tfr1_l59_s156876_mpnn3,30.12,27.31,30.80,0.1600,0.1800,0.1500,False,True,False,False
tfr1_l59_s156876_mpnn4,29.70,27.00,30.85,0.1700,0.2000,0.1500,False,True,False,False
tfr1_l59_s156876_mpnn5,29.53,26.00,30.81,0.1800,0.2800,0.1500,False,True,False,False
tfr1_l59_s156876_mpnn6,29.49,25.68,30.84,0.1800,0.4000,0.1500,False,True,False,False
tfr1_l59_s156876_mpnn8,30.07,26.50,30.88,0.1600,0.2800,0.1500,False,True,False,False
tfr1_l59_s156876_mpnn9,29.47,27.14,30.83,0.1800,0.1600,0.1500,False,True,False,False
tfr1_l59_s344619_mpnn1,29.82,26.55,30.84,0.1700,0.1800,0.1500,False,True,False,False
tfr1_l59_s344619_mpnn11,29.98,26.63,30.86,0.1700,0.1100,0.1500,False,True,False,False
tfr1_l59_s344619_mpnn13,12.56,26.52,30.57,0.7600,0.1600,0.1600,False,True,False,False
tfr1_l59_s344619_mpnn14,29.96,26.49,30.73,0.1600,0.1200,0.1500,False,True,False,False
tfr1_l59_s344619_mpnn19,29.91,26.32,30.83,0.1600,0.2900,0.1500,False,True,False,False
tfr1_l59_s344619_mpnn3,29.92,26.34,30.43,0.1600,0.3200,0.1600,False,True,False,False
tfr1_l59_s344619_mpnn4,29.89,26.62,30.78,0.1700,0.2800,0.1500,False,True,False,False
