design_id,monomer_plddt,pass_phase_b
ab42_l82_s480128_mpnn13,90.86,1
ab42_l79_s120913_mpnn1,90.25,1
ab42_l79_s120913_mpnn2,89.71,1
ab42_l68_s311665_mpnn6,91.37,1
ab42_l79_s867664_mpnn2,92.52,1
ab42_l70_s557298_mpnn12,90.75,1
ab42_l90_s311742_mpnn3,92.99,1
ab42_l90_s311742_mpnn16,93.86,1
ab42_l63_s289797_mpnn2,95.21,1
ab42_l63_s794643_mpnn1,94.08,1
ab42_l63_s794643_mpnn3,94.02,1
ab42_l89_s878084_mpnn3,97.03,1
ab42_l84_s443975_mpnn2,88.88,1
ab42_l84_s443975_mpnn10,88.0,1
ab42_l70_s313438_mpnn5,89.64,1
ab42_l60_s837308_mpnn6,95.57,1
ab42_l80_s980366_mpnn2,95.06,1
ab42_l77_s306498_mpnn13,96.72,1
ab42_l77_s306498_mpnn16,97.12,1
ab42_l71_s843399_mpnn18,96.56,1
ab42_l65_s496499_mpnn3,92.38,1
ab42_l67_s707813_mpnn1,90.69,1
ab42_l67_s707813_mpnn2,91.68,1
ab42_l86_s857331_mpnn4,90.9,1
ab42_l86_s857331_mpnn12,95.03,1
ab42_l76_s254619_mpnn6,91.87,1
